YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2019,6,30,16.86,10.44,13.65,15.72,10.38,21.31,10.93
2019,7,1,18.04,11.42,14.73,16.65,7.83,21.66,13.83
2019,7,2,13.98,11.94,12.96,14.68,4.95,16.91,11.97
2019,7,3,14.57,11.97,13.27,15.18,5.91,17.64,11.73
2019,7,4,14.06,12.18,13.12,14.4,2.81,15.58,12.76
2019,7,5,13.32,11.98,12.65,13.77,2.89,14.86,11.97
2019,7,6,13.14,10.79,11.97,13.26,3.91,15.07,11.16
2019,7,7,12.87,11.16,12.02,13.26,3.23,14.74,11.51
2019,7,8,15.49,11.44,13.47,15.04,7.77,19.17,11.4
2019,7,9,15.87,12.4,14.13,15.44,7.6,19.59,11.99
2019,7,10,15.12,13.98,14.55,15.28,3.7,17.1,13.4
2019,7,11,16.01,12.38,14.19,15.42,5.49,18.57,13.08
2019,7,12,16.92,12.59,14.76,15.99,7.41,20.23,12.83
2019,7,13,15.82,12.84,14.33,15.25,5.47,18.69,13.23
2019,7,14,15.58,12.08,13.83,14.98,4.47,17.62,13.15
2019,7,15,16.26,12.55,14.4,15.78,6.38,18.87,12.49
2019,7,16,16.6,13.15,14.87,16.52,6.59,19.91,13.33
2019,7,17,14.09,12.47,13.28,14.76,4.73,16.64,11.9
2019,7,18,12.69,9.48,11.08,13.48,5.71,15.86,10.15
2019,7,19,13.12,9.16,11.14,13.35,6.83,16.51,9.67
2019,7,20,16.27,10.83,13.55,15.36,11.87,21.05,9.19
2019,7,21,19.48,10.56,15.01,17.52,11.58,24.9,13.33
2019,7,22,18.59,11.03,14.81,17.12,6.83,21.65,14.83
2019,7,23,16.39,12.82,14.6,16.06,6.99,20.11,13.11
2019,7,24,14.59,10.86,12.73,14.65,5.31,17.4,12.09
2019,7,25,17.43,11.87,14.65,16.46,9.38,21.62,12.24
2019,7,26,18.46,14.03,16.25,17.79,8.1,22.51,14.4
2019,7,27,16.02,12.8,14.41,16.29,5.14,18.8,13.65
2019,7,28,17.62,13,15.31,17.51,8.34,21.33,12.98
2019,7,29,17.76,13.71,15.73,17.29,8.73,21.85,13.12
2019,7,30,15.5,12.64,14.07,15.58,5.03,18.04,13.01
2019,7,31,17.57,12.87,15.22,16.59,5.75,20.62,14.87
2019,8,1,16.63,14.07,15.35,16.49,4.55,19.01,14.46
2019,8,2,16.48,13.86,15.17,16.29,4.84,19.38,14.54
2019,8,3,17.03,11.92,14.48,16.41,11.02,21.76,10.76
2019,8,4,20.09,12.3,16.19,18.38,14.01,26.83,12.83
2019,8,5,21.3,13.51,17.41,19.14,9.98,25.81,15.83
2019,8,6,20.86,14.87,17.87,19.23,9.51,25.16,15.65
2019,8,7,20.49,14.04,17.26,18.9,8.45,24.47,16.01
2019,8,8,17.16,13.58,15.37,17.15,8.3,21.87,13.58
2019,8,9,16.27,13.33,14.8,16.48,6.25,19.71,13.46
2019,8,10,15.08,13.46,14.27,15.46,4.05,17.26,13.21
2019,8,11,14.02,12.6,13.31,14.51,3.59,15.93,12.34
2019,8,12,16.2,12.29,14.25,15.59,6.69,19.09,12.4
2019,8,13,17.33,12.42,14.88,16.08,8.51,21.3,12.79
2019,8,14,18.29,13.46,15.87,17.14,7.92,21.81,13.9
2019,8,15,17.82,13.69,15.76,16.76,7.55,21.73,14.17
2019,8,16,15.23,12.99,14.12,15.42,3.79,17.28,13.49
2019,8,17,15.16,12.68,13.92,15.03,4.05,17.57,13.52
2019,8,18,15.3,12.49,13.9,15,4.98,18.19,13.22
2019,8,19,15.07,11.8,13.44,14.75,6.45,18.74,12.28
2019,8,20,16.2,11.71,13.96,15.35,8.44,20.49,12.06
2019,8,21,13.82,12.96,13.39,14.24,4.64,15.98,11.33
2019,8,22,15.15,9.9,12.53,14.65,9.27,19.79,10.51
2019,8,23,14.78,9.53,12.15,14.06,5.49,18.1,12.61
2019,8,24,14.22,10.33,12.27,13.4,5.06,17.13,12.07
2019,8,25,13.98,10.49,12.23,13.52,7.12,17.47,10.34
2019,8,26,15.23,10.12,12.67,14.4,11.59,20.54,8.95
2019,8,27,17.58,11.98,14.78,16.5,12.09,23.38,11.29
2019,8,28,19.35,13.83,16.59,17.83,12.44,25.3,12.87
2019,8,29,18.37,13.38,15.87,17.17,6.83,21.87,15.04
2019,8,30,15.98,14.05,15.01,15.59,4.59,18.41,13.83
2019,8,31,16.7,13.63,15.16,15.67,4.69,19.35,14.66
2019,9,1,16.32,13.49,14.9,15.6,5.12,18.97,13.86
2019,9,2,17.32,13.2,15.26,16.21,9.64,22.02,12.38
2019,9,3,17.52,12.92,15.23,16.11,5.7,20.76,15.07
2019,9,4,16.22,13.33,14.77,15.51,6.94,20.16,13.22
2019,9,5,18.64,12.1,15.37,16.78,13.73,25.67,11.94
2019,9,6,18.07,11.97,15.02,16.14,8.19,21.9,13.71
2019,9,7,15.28,12.98,14.13,15.23,7.84,20.33,12.49
2019,9,8,13.34,12.04,12.69,13.73,4,15.72,11.72
2019,9,9,13.62,11.32,12.47,13.3,3.98,15.88,11.9
2019,9,10,14.26,11.3,12.78,13.55,6.06,17.38,11.33
2019,9,11,13.38,11.53,12.45,12.97,4.27,15.44,11.18
2019,9,12,12.83,11.82,12.32,13.08,2.52,14.51,11.98
2019,9,13,12.72,12.28,12.5,13.15,2.84,14.21,11.37
2019,9,14,12.32,12.01,12.17,12.73,3.15,13.7,10.55
2019,9,15,11.32,10.76,11.04,11.65,2.48,12.24,9.76
2019,9,16,11.25,8.9,10.07,11.33,5.25,14.17,8.92
2019,9,17,10.23,9.62,9.93,10.65,1.74,11.02,9.28
2019,9,18,13.27,9.48,11.37,12.02,8.21,18.01,9.8
2019,9,19,11.69,9.3,10.49,11.18,6.29,15.06,8.77
2019,9,20,12.65,9.9,11.27,12.31,7.59,17.45,9.86
2019,9,21,11.66,10.69,11.17,11.61,3.98,13.83,9.86
2019,9,22,11.9,11.56,11.73,12.01,3.12,13.49,10.37
2019,9,23,9.85,8.92,9.39,10.12,1.62,10.75,9.12
2019,9,24,11.33,9.29,10.3,11.05,6.23,14.75,8.52
2019,9,25,9.64,7.53,8.58,9.94,6.52,13.18,6.66
2019,9,26,11.25,8.89,10.07,11.3,8.2,15.55,7.36
2019,9,27,6.84,5.11,5.98,7.5,4.73,9.15,4.43
2019,9,28,6.66,1.3,3.98,6.75,9.21,12.34,3.13
2019,9,29,6,-1.22,2.39,6.08,8.24,10.99,2.75
2019,9,30,7.33,0.33,3.83,5.72,8.85,11.83,2.98
2019,10,1,7.35,3.89,5.62,6.16,8.13,11.27,3.14
2019,10,2,7.76,5.64,6.7,7.36,5.72,10.58,4.86
2019,10,3,7.11,6.33,6.72,7.48,3.1,9.01,5.9
2019,10,4,6.95,6.27,6.62,7.37,2.15,8.11,5.96
2019,10,5,8.08,5.41,6.75,7.25,6.21,11.93,5.71
2019,10,6,7.56,4.38,5.97,7.39,6.23,10.73,4.51
2019,10,7,8.01,7.41,7.71,8.22,6.95,11.75,4.8
2019,10,8,4.03,-0.06,1.98,4.53,10,8.34,-1.66
2019,10,9,2.53,-5.92,-1.69,1.87,9.35,7.31,-2.03
2019,10,10,5.06,-2.17,1.44,3.55,8.67,9.55,0.87
2019,10,11,7.3,2.58,4.94,5.37,9.35,11.87,2.52
2019,10,12,8.7,5.33,7.01,7.17,5.2,11.78,6.58
2019,10,13,7.09,5.59,6.34,6.54,3.73,9.65,5.92
2019,10,14,6.75,4.12,5.44,6.04,5.33,9.63,4.3
2019,10,15,7.24,5.07,6.15,6.73,2.76,8.44,5.67
2019,10,16,7.4,6.98,7.19,7.43,3.59,9.16,5.58
2019,10,17,6.5,6.05,6.27,6.67,2.99,8.41,5.43
2019,10,18,5.76,5.43,5.59,6.01,1.38,6.6,5.23
2019,10,19,5.07,4.37,4.73,5.23,2.74,6.94,4.2
2019,10,20,4.73,4.21,4.47,4.81,2,5.73,3.72
2019,10,21,5.46,5.12,5.29,5.58,2.57,7.18,4.61
2019,10,22,6.45,5.93,6.19,6.19,4.92,8.51,3.58
2019,10,23,5.62,2.17,3.9,4.44,9.35,10.51,1.16
2019,10,24,6.88,4.83,5.86,6.24,2.52,8.19,5.68
2019,10,25,7.18,5.25,6.22,6.83,6.48,9.74,3.26
2019,10,26,4.01,-1.02,1.5,2.95,8.12,8.9,0.79
2019,10,27,3.12,-2.35,0.39,1.98,8.32,8.1,-0.21
2019,10,28,2.62,-2.78,-0.09,2.05,8.88,7.74,-1.14
2019,10,29,1.04,-7.2,-3.08,0.72,7.5,4.84,-2.66
2019,10,30,3.37,-3.74,-0.19,1.72,6.29,6.83,0.55
2019,10,31,4.09,-0.6,1.75,2.37,5.88,7.45,1.57
2019,11,1,4.37,1.76,3.06,2.65,7.77,8.63,0.87
2019,11,2,6,2.75,4.37,3.94,7.87,11.12,3.26
2019,11,3,5.32,3.82,4.57,4.55,8.59,10.47,1.87
2019,11,4,5.65,4.29,4.97,5.09,7.05,9.94,2.88
2019,11,5,5.93,3.65,4.8,4.67,7.93,10.95,3.02
2019,11,6,5.45,1.65,3.55,3.97,8.09,10.44,2.35
2019,11,7,6.94,0.37,3.66,4.73,6.96,11.01,4.04
2019,11,8,7.48,2.9,5.19,5.45,4.05,9.88,5.83
2019,11,9,6.15,5.63,5.89,5.68,0.69,6.5,5.8
2019,11,10,5.41,3.2,4.31,4.31,7.72,10.06,2.34
2019,11,11,4.78,1.26,3.01,4.49,5.81,8.33,2.51
2019,11,12,4.87,4.24,4.56,4.8,3.19,6.57,3.39
2019,11,13,5.39,3.58,4.49,4.98,4.95,8.69,3.73
2019,11,14,6.03,3.3,4.66,4.98,6.38,9.48,3.11
2019,11,15,5.51,5.07,5.29,5.05,3.33,7.49,4.16
2019,11,16,5.6,5.4,5.5,5.55,1.48,6.4,4.92
2019,11,17,6.9,6.68,6.79,6.17,3.69,9.25,5.56
2019,11,18,4.59,4.03,4.31,4.55,3.27,5.73,2.46
2019,11,19,3.39,1.52,2.45,2.33,5.95,7.14,1.19
2019,11,20,2.18,-1.71,0.23,1.17,9.19,7.87,-1.32
2019,11,21,3.9,-1.33,1.29,1.13,5.94,7.53,1.59
2019,11,22,2.42,0.63,1.53,1.08,4.3,4.96,0.66
2019,11,23,2.81,2.63,2.72,3.06,2.23,4.2,1.98
2019,11,24,2.91,2.31,2.62,2.83,3.26,4.4,1.15
2019,11,25,0.4,-0.88,-0.24,-0.42,3.89,2.87,-1.01
2019,11,26,-1.09,-4.74,-2.92,-0.74,4.88,1.6,-3.28
2019,11,27,-3.27,-9.35,-6.31,-2.13,5.04,-0.92,-5.96
2019,11,28,-4.85,-10.13,-7.49,-4.18,6.28,-0.45,-6.74
2019,11,29,-4.85,-9.13,-6.99,-4.92,8.35,0.28,-8.07
2019,11,30,-3.56,-7.35,-5.45,-4.17,8.68,1.38,-7.3
2019,12,1,-1.84,-4.27,-3.06,-2.45,3.98,0.21,-3.77
2019,12,2,0.26,-0.63,-0.18,-0.2,2.6,1.33,-1.27
2019,12,3,2.22,2.07,2.15,2.12,1.49,2.88,1.39
2019,12,4,1.88,1.3,1.58,1.2,5.82,3.58,-2.24
2019,12,5,-0.61,-2.13,-1.37,-0.48,7.5,3.19,-4.3
2019,12,6,4.1,3.19,3.64,2.76,2.13,5.44,3.3
2019,12,7,3.8,2.83,3.32,2.26,1.3,4.76,3.45
2019,12,8,1.71,-0.08,0.81,0.03,5.2,4,-1.2
2019,12,9,-0.32,-3.77,-2.05,-1.68,6.8,3.37,-3.42
2019,12,10,0.84,-0.66,0.09,0.2,2.26,1.65,-0.6
2019,12,11,1.96,1.59,1.78,1.81,2.31,3.17,0.86
2019,12,12,2.39,2.12,2.26,2.24,1.12,2.83,1.72
2019,12,13,2.04,1.63,1.83,1.78,1.06,2.76,1.7
2019,12,14,1.02,-0.49,0.26,-0.27,3.8,2.54,-1.26
2019,12,15,-2.99,-4.57,-3.77,-4.36,6.16,0.05,-6.11
2019,12,16,-0.85,-1.38,-1.11,-0.4,4.97,1.45,-3.52
2019,12,17,2.12,1.46,1.8,2.02,1.56,3.18,1.62
2019,12,18,1.4,1.01,1.21,1.8,2.04,2.83,0.79
2019,12,19,1.7,1.52,1.61,2.02,0.93,2.25,1.32
2019,12,20,2.2,1.83,2.02,1.99,0.8,2.61,1.8
2019,12,21,1.71,1.48,1.59,2.04,0.47,1.98,1.51
2019,12,22,-0.3,-1.2,-0.75,-0.47,6.09,1.65,-4.44
2019,12,23,-4.39,-5.95,-5.17,-5.27,7.02,-1.1,-8.12
2019,12,24,-1.5,-2.45,-1.98,-1.95,2.17,-0.19,-2.36
2019,12,25,-3.44,-4.7,-4.07,-4.59,7.06,0.12,-6.95
2019,12,26,-3.77,-4.73,-4.25,-3.69,6.34,-0.88,-7.22
2019,12,27,-0.52,-0.94,-0.73,-1.23,3.94,1.1,-2.84
2019,12,28,0.66,0.07,0.37,0.48,1.85,1.52,-0.33
2019,12,29,2.05,1.17,1.62,1.66,1.88,2.94,1.06
2019,12,30,2.4,2.15,2.27,2.24,0.54,2.66,2.13
2019,12,31,2.42,2.28,2.35,2.33,1.69,3.31,1.62
2020,1,1,2.57,2.23,2.4,2.3,3.6,3.64,0.04
2020,1,2,-0.19,-0.89,-0.54,-0.03,1.84,0.9,-0.93
2020,1,3,2.9,2.62,2.76,2.63,2.02,3.73,1.71
2020,1,4,1.41,0.76,1.08,1.67,1.42,2.23,0.8
2020,1,5,0.96,0.51,0.73,1.12,2.14,1.81,-0.33
2020,1,6,0.69,0.39,0.54,1.1,2.82,2.26,-0.56
2020,1,7,2.4,2.2,2.3,2.34,1.12,2.9,1.77
2020,1,8,-1.45,-2.62,-2.04,-2.1,7.84,1.58,-6.26
2020,1,9,-5.16,-7.06,-6.11,-6.42,4.83,-2.37,-7.2
2020,1,10,-1.64,-1.95,-1.8,-0.88,5.27,0.41,-4.85
2020,1,11,-0.48,-1.3,-0.89,-0.31,2.3,0.4,-1.9
2020,1,12,-3.04,-3.81,-3.42,-2.27,10.44,0.47,-9.97
2020,1,13,-11.92,-13.59,-12.75,-10.16,4.3,-10.08,-14.38
2020,1,14,-13.7,-14.57,-14.13,-11.54,4.3,-11.34,-15.64
2020,1,15,-8.95,-9.71,-9.33,-7.45,7.85,-3.67,-11.52
2020,1,16,-1.46,-2.36,-1.91,-1.94,4.02,0.24,-3.78
2020,1,17,-3.63,-4.77,-4.2,-4.31,2.69,-2.13,-4.82
2020,1,18,-0.7,-1.09,-0.89,-0.24,4.78,1.7,-3.09
2020,1,19,2.65,2.12,2.39,1.98,2.52,4.28,1.76
2020,1,20,3.07,1.99,2.53,2.2,1.66,4.02,2.37
2020,1,21,2.17,1.83,2,2.17,1.13,2.96,1.82
2020,1,22,1.76,1.55,1.65,1.95,0.98,2.08,1.09
2020,1,23,3.18,3.08,3.13,2.63,2.6,4.38,1.78
2020,1,24,2.94,2.87,2.9,2.51,0.85,3.3,2.45
2020,1,25,2.41,1.79,2.1,2.13,1.45,3.03,1.58
2020,1,26,2.35,1.89,2.12,2.26,1.09,2.96,1.86
2020,1,27,1.88,1.51,1.69,1.91,0.97,2.32,1.35
2020,1,28,2.19,1.73,1.96,1.71,2.61,3.37,0.76
2020,1,29,2.42,2.02,2.22,1.87,1.59,3.16,1.57
2020,1,30,1.47,0.96,1.21,1.43,2.22,2.48,0.26
2020,1,31,2.76,2.52,2.64,2.48,1.79,3.64,1.85
2020,2,1,1.47,0.48,0.97,1.33,5.15,3.63,-1.52
2020,2,2,-2.05,-2.84,-2.44,-2.08,3.27,-0.64,-3.91
2020,2,3,-4.76,-6.97,-5.87,-5.62,4.98,-2.31,-7.3
2020,2,4,-4.08,-5.13,-4.6,-3.79,5.11,-1.98,-7.09
2020,2,5,-0.06,-0.75,-0.41,0.07,3.91,1.74,-2.17
2020,2,6,1.77,0.75,1.26,0.53,1.7,2.47,0.77
2020,2,7,1,0.61,0.8,0.4,2.06,1.88,-0.18
2020,2,8,-0.98,-1.85,-1.42,-1.89,10.37,1.68,-8.69
2020,2,9,-4.58,-6.68,-5.63,-5.64,8.55,-0.71,-9.25
2020,2,10,-1.67,-3.74,-2.7,-2.8,8.48,1.98,-6.5
2020,2,11,0.93,0.43,0.68,0.07,4.05,2.41,-1.63
2020,2,12,-0.57,-1.83,-1.2,-1.59,7.2,2.14,-5.06
2020,2,13,0.62,0.05,0.33,0.58,2.12,1.89,-0.23
2020,2,14,1.1,0.39,0.74,1.05,2.19,2.31,0.13
2020,2,15,0.85,0.57,0.71,0.83,2.56,1.85,-0.71
2020,2,16,-0.08,-0.66,-0.37,-0.76,3.41,1.9,-1.51
2020,2,17,-2.09,-3.63,-2.86,-3.27,5.96,0.9,-5.06
2020,2,18,-5.1,-6.76,-5.93,-6.33,11.16,1.28,-9.88
2020,2,19,-3.16,-5.44,-4.3,-4.64,10.43,2.36,-8.08
2020,2,20,-0.59,-4.34,-2.46,-4.61,7.36,3.03,-4.33
2020,2,21,1.05,-1.32,-0.13,-1.14,4.81,3.19,-1.62
2020,2,22,1.23,0.57,0.9,1.24,2.41,2.7,0.3
2020,2,23,1.29,0.82,1.05,1.51,2.28,2.23,-0.06
2020,2,24,-0.6,-2.59,-1.6,-1.53,4.22,1.29,-2.93
2020,2,25,-0.52,-1.9,-1.21,-0.89,4.94,1.48,-3.46
2020,2,26,1.33,0.75,1.04,1.22,2,2.5,0.49
2020,2,27,2.02,1.82,1.92,1.98,1.52,2.62,1.11
2020,2,28,1.98,1.78,1.88,2.05,1.41,2.51,1.11
2020,2,29,0.18,-0.87,-0.35,0.02,6.36,2.08,-4.27
2020,3,1,-3.45,-5.17,-4.31,-3.59,8.17,-0.1,-8.27
2020,3,2,0.16,-0.13,0.01,0.48,4.45,2.15,-2.31
2020,3,3,1.74,1.46,1.6,1.55,1.37,2.4,1.02
2020,3,4,0.81,-0.6,0.11,0.94,2.56,2.1,-0.46
2020,3,5,0.91,-0.43,0.24,0.58,2.38,1.83,-0.54
2020,3,6,0.06,-1.32,-0.63,-1.63,4.44,1.78,-2.67
2020,3,7,-1.91,-3.07,-2.49,-1.83,7.7,1.4,-6.3
2020,3,8,-1.14,-3.24,-2.19,-2.96,8.94,1.8,-7.15
2020,3,9,-3.52,-5.94,-4.73,-4.24,10.52,1.8,-8.73
2020,3,10,-0.37,-1.11,-0.74,-0.29,5.12,1.84,-3.29
2020,3,11,0.56,-0.32,0.12,-0.06,5.99,2.57,-3.42
2020,3,12,-1.94,-4.17,-3.06,-2.3,9.52,2.05,-7.48
2020,3,13,-2.45,-5.12,-3.78,-1.84,5.6,-0.48,-6.08
2020,3,14,-7.34,-9.88,-8.61,-5.56,4.4,-4.85,-9.25
2020,3,15,-5.14,-7.14,-6.14,-3.88,10.37,0.72,-9.65
2020,3,16,-1.62,-3.62,-2.62,-2.41,11.38,3.32,-8.06
2020,3,17,1.23,-1.83,-0.3,-1.72,5.45,3.76,-1.7
2020,3,18,1.28,-1.73,-0.23,-1.27,7.12,4.4,-2.72
2020,3,19,1.29,-1.17,0.05,-0.6,7.25,3.91,-3.34
2020,3,20,2.9,-0.73,1.08,0.26,8.36,6.93,-1.43
2020,3,21,1.76,-0.69,0.54,0.63,9.07,6.45,-2.62
2020,3,22,2.64,0.94,1.79,1.83,3.52,4.54,1.02
2020,3,23,1.48,0.75,1.12,1.94,2.99,3.13,0.14
2020,3,24,1.99,-0.44,0.77,1.4,4.2,4.52,0.33
2020,3,25,1.7,-1.58,0.06,0.18,5.49,4.74,-0.75
2020,3,26,1.33,0.04,0.69,1.15,4.22,3.41,-0.8
2020,3,27,2.3,1.88,2.09,2.79,3.05,3.83,0.79
2020,3,28,3.11,2.87,2.99,3.36,1.42,3.85,2.42
2020,3,29,3.34,2.3,2.83,3.53,2.55,4.92,2.36
2020,3,30,1.62,1.04,1.33,2.19,2.3,2.88,0.58
2020,3,31,1.15,0.19,0.67,1.12,2.29,2.53,0.23
2020,4,1,0.25,-3.03,-1.39,-0.24,5.85,3.06,-2.79
2020,4,2,-0.45,-3.58,-2.02,-0.45,6.64,2.98,-3.67
2020,4,3,0.18,-2.86,-1.35,0.02,3.11,2.01,-1.1
2020,4,4,-0.15,-2.68,-1.42,0.07,5.61,2.99,-2.62
2020,4,5,1.33,-2.04,-0.36,0.59,6.66,4.83,-1.84
2020,4,6,1.94,-1.55,0.2,0.64,9.19,6.01,-3.18
2020,4,7,3.1,-0.17,1.46,1.48,6.06,6.07,0.01
2020,4,8,3.75,-0.2,1.77,2.49,10.48,8.63,-1.85
2020,4,9,6.21,-0.27,2.97,4.05,7.35,10.13,2.77
2020,4,10,6.01,1.68,3.84,4.15,6.73,9.53,2.8
2020,4,11,3.46,-1.42,1.01,2.41,6.83,6.72,-0.12
2020,4,12,3.26,-2.52,0.37,1.88,9.98,8.07,-1.92
2020,4,13,4.94,-0.9,2.02,3.8,10.64,9.62,-1.02
2020,4,14,6.77,2.43,4.6,5.32,8.09,10.76,2.68
2020,4,15,6.55,1.12,3.83,5.55,8.88,11.4,2.52
2020,4,16,7.78,0.37,4.07,6.24,10.3,13.12,2.83
2020,4,17,7.58,3.39,5.48,6.24,7.06,10.8,3.73
2020,4,18,8.17,5.16,6.67,7.59,7.65,11.79,4.14
2020,4,19,8.31,5.86,7.08,7.65,3.52,10.33,6.82
2020,4,20,8.87,5.4,7.14,8.16,6.08,11.95,5.88
2020,4,21,7.02,4.95,5.99,7.3,3.58,9.21,5.63
2020,4,22,6.14,4.65,5.4,6.4,3.65,7.82,4.17
2020,4,23,6.95,4.83,5.89,6.79,6.36,10.08,3.73
2020,4,24,7.76,5.2,6.48,7.83,4.91,10.44,5.54
2020,4,25,7.41,5.63,6.52,7.65,4.22,9.3,5.08
2020,4,26,6.02,4.24,5.13,6.55,3.92,7.79,3.87
2020,4,27,6.1,4.23,5.17,6.2,4.22,8.41,4.19
2020,4,28,6.23,4.08,5.15,6.15,4.61,8.63,4.02
2020,4,29,7.87,6.07,6.97,7.92,6.3,11.14,4.83
2020,4,30,7.3,4.97,6.13,7.27,4.7,10.09,5.39
2020,5,1,7.28,4.34,5.81,7.26,5.63,10.24,4.61
2020,5,2,7.31,5.77,6.55,7.36,6.48,10.64,4.15
2020,5,3,5.37,2.75,4.06,5.4,4.16,7.67,3.5
2020,5,4,6.62,2.33,4.48,6.17,9.57,10.32,0.74
2020,5,5,9.86,5.62,7.73,9.29,8.55,13.84,5.29
2020,5,6,6.83,3.98,5.4,6.83,4.7,9.33,4.63
2020,5,7,8.4,2.26,5.33,7.55,12.59,14.42,1.83
2020,5,8,12.09,5.23,8.66,10.66,15.01,19.51,4.5
2020,5,9,15.3,8.13,11.72,13.32,13.66,21.65,7.99
2020,5,10,16.58,9.58,13.08,15.08,11.91,22.48,10.58
2020,5,11,13.38,9.84,11.61,13.17,8.23,18.06,9.83
2020,5,12,11.15,8.59,9.87,11.44,5.52,14.12,8.59
2020,5,13,10.11,7.23,8.67,10.19,4.81,12.83,8.01
2020,5,14,10.39,6.79,8.58,10.11,4.72,12.88,8.15
2020,5,15,10.56,7.02,8.79,10.36,6.02,14.08,8.06
2020,5,16,9.77,7.86,8.81,9.93,4.87,12.25,7.38
2020,5,17,11.22,7.75,9.48,10.83,6.67,14.9,8.23
2020,5,18,11.57,6.74,9.15,10.94,10.04,16.51,6.47
2020,5,19,11.67,8.4,10.04,11.45,8.38,15.57,7.19
2020,5,20,10.54,8.58,9.56,10.96,4.06,12.27,8.2
2020,5,21,8.3,5.34,6.82,9.3,3.95,10.34,6.4
2020,5,22,9.11,6.1,7.61,9.92,5.3,12.34,7.04
2020,5,23,9.31,6.66,7.99,9.91,5.09,12.23,7.13
2020,5,24,10.06,7.18,8.62,10.44,5.27,12.82,7.55
2020,5,25,10.37,8.51,9.44,10.62,4.05,12.68,8.63
2020,5,26,11.36,6.62,8.99,10.93,7.11,15.28,8.17
2020,5,27,13.83,6.14,9.98,12.55,12.82,19.44,6.62
2020,5,28,16.86,8.16,12.51,15.15,10.54,22.51,11.97
2020,5,29,16.27,10.24,13.26,14.73,4.32,18.23,13.9
2020,5,30,13.39,10.95,12.17,13.18,6.85,16.78,9.93
2020,5,31,10.61,6.67,8.64,11.26,4.91,13.55,8.65
2020,6,1,10.98,6.48,8.73,10.95,5.48,13.81,8.33
2020,6,2,8.83,6.48,7.65,9.51,2.49,10.26,7.76
2020,6,3,10.75,6.33,8.54,10.88,6.61,14.5,7.88
2020,6,4,10.55,6.64,8.59,10.09,5.88,13.51,7.63
2020,6,5,10.48,6.73,8.6,10.69,6.98,14.21,7.23
2020,6,6,9.79,6.23,8.01,10.2,5.44,12.93,7.49
2020,6,7,10.8,6.33,8.56,10.9,7.63,14.55,6.92
2020,6,8,9.2,5.33,7.27,9.95,5.83,12.23,6.4
2020,6,9,8.68,7.8,8.24,9.55,4.09,10.73,6.64
2020,6,10,11.81,10.57,11.19,11.92,4.88,14.1,9.23
2020,6,11,12.55,10.12,11.33,11.99,3.62,14.86,11.24
2020,6,12,10.87,8.7,9.79,10.84,4.26,12.95,8.69
2020,6,13,9.93,6.41,8.17,10.34,3.98,12.12,8.15
2020,6,14,9.62,7.16,8.39,10.15,5.48,12.92,7.44
2020,6,15,9.18,7.4,8.3,9.62,3.55,11.28,7.72
2020,6,16,12.09,7.6,9.84,11.69,7.42,15.8,8.37
2020,6,17,13.01,9.56,11.29,12.37,7.77,16.35,8.59
2020,6,18,14.65,11,12.83,14.11,9.8,19.25,9.44
2020,6,19,16.01,12.73,14.37,15.5,7.09,19.51,12.41
2020,6,20,14.12,13.05,13.59,14.35,2.87,15.55,12.67
2020,6,21,12.78,10.4,11.58,12.95,4.49,15.35,10.86
2020,6,22,14.3,10.07,12.18,13.98,8.23,17.8,9.57
2020,6,23,16.47,13.36,14.91,15.37,3.73,18.19,14.46
2020,6,24,16.02,13.58,14.8,15.7,5.91,19.29,13.37
2020,6,25,16.72,12.77,14.75,16.27,9.33,21.19,11.87
2020,6,26,15.88,12.13,14.01,15.53,7.38,19.67,12.3
2020,6,27,12.55,9.44,11,13.23,5.27,15.24,9.97
2020,6,28,15.08,9.58,12.33,14.83,10.66,19.73,9.07
2020,6,29,15.65,11.24,13.44,15.35,8.19,19.42,11.23
